SrNo,Name,RegNo,State,City,Address,PIN,SectorWorking
1,A & N Kayaking & Caneoing Association,1544,Andaman & Nicobar Islands, Port Blair ,C/O State Olympic Associationnetaji Stadiumport Blair,,Sports
2,A S Music And Dance A Cultural Organization,1534,Andaman & Nicobar Islands, Port Blair ,"As Music And Dance A Cultural Organization,8,Air Lane Delanipur Port Blair,South Andaman.744102",744102,NaN
3,Abhishweta Foundation,20211011RS00016,Andaman & Nicobar Islands, Port Blair ,"Room No.604(1)-Mb550, Near Urban Health Centre, Dairy Farm, Port Blair City, Andaman And Nicobar Islands 744103.",744103,"Science & Technology,Art & Culture,Biotechnology,Education & Literacy,Health & Family Welfare,Scientific & Industrial Research,Skill Development,Information & Communication Technology,Water Resources"
4,Adityanatyaacademy,888,Andaman & Nicobar Islands, Port Blair ,"31 M.G. Road,Opp. Sun Sea Resort,Middle Point.",,"Art & Culture,Children,Education & Literacy,Skill Development"
5,Anandodhara,1355,Andaman & Nicobar Islands, Port Blair ,C/O Baakprotima (Sbi Building)Junglighatport Blair-744103South Andamanpin-744103,744103,Art & Culture
6,Andaman & Nicobar Kho-Kho Association,1211,Andaman & Nicobar Islands, Port Blair ,State Olympic Associationnetaji Stadium,,Sports
7,Andaman & Nicobar Taekwondo Association,995,Andaman & Nicobar Islands, Port Blair ,Andaman Nicobar State Olympic Associationnetaji Stadium,,Sports
8,Andaman And Nicobar Chess Association,689,Andaman & Nicobar Islands, Port Blair ,"Andaman Nicobar Chess Association11 Km Road, Prem Nagar Near Electricity Site Office, Port Blair 744102,South Andamanandaman And Nicobar Islands",744102,Sports
9,Andaman And Nicobar Football Association,27,Andaman & Nicobar Islands, Kadamtala ,C/O Sapna Balapresidentex-Zilla Parishad Member,,Sports
10,Andaman And Nicobar State Olympic Association,1198,Andaman & Nicobar Islands, Port Blair ,"Andaman And Nicobar State Olympic Association, Netaji Stadium, Port Blair,South Andaman, Andamanand Nicobar Islandsph: 03192-243001",243001,Sports
1,Adil Gandhian Society,TSR 1/2004/2/of2004.,Meghalaya, Tura ,"Araimile,New Tura, West Garo Hills,Meghalaya",,"HIV/AIDS,Health & Family Welfare,Rural Development & Poverty Alleviation,Women's Development & Empowerment,Agriculture,Differently Abled"
2,Agency For Sustainable Development Initiatives,NEW REGN.NO SR/AFSDI-30-18 OF ,Meghalaya, Shillong ,"C/O K.J.P.Synod Sepngichurch Housemission Compoundmeghalaya, Shillong-793002",793002,"Children,Differently Abled,Disaster Management,Education & Literacy,Environment & Forests,Food Processing,Health & Family Welfare,HIV/AIDS,Human Rights,Legal Awareness & Aid,Labour & Employment,Micro Finance (SHGs),Rural Development & Poverty Alleviation,Tribal Affairs,Vocational Training,Women's Development & Empowerment,Any Other"
3,All Meghalaya Minorities Students' Union,TSR.1/2005/Pt-/1997 ,Meghalaya, Shillong ,H.Q :-New Bhaitbarip.O :- New Bhaitbarip.S :- Phulbari,,"Agriculture,Animal Husbandry, Dairying  &  Fisheries,Art & Culture,Children,Civic Issues,Education & Literacy,Human Rights,Information & Communication Technology,Labour & Employment,Legal Awareness & Aid,Minority Issues,Prisoner's Issues,Youth Affairs,Any Other"
4,Annie Margaret Barr Childrens Village,SW/SD/3/87/Pt/4875-4968,Meghalaya, Shillong ,"Mawsynjri, Kharang",,"Children,Any Other"
5,Anti Corruption & Human Development Organisation,TSR. 1/2005/Pt-1/2095 OF 2018,Meghalaya, Chibinang ,"Chibinang (Plain Belt) Tura, West Garo Hills, Meghalaya,794104",794104,NaN
6,Archdiocese Of Shillong,SR/TAS-416/88 of 1988,Meghalaya, Shillong ,Archbishop Houselaitumkhrahshillong 793003Meghalaya,793003,"Education & Literacy,Health & Family Welfare,Nutrition,Vocational Training,Youth Affairs,Education & Literacy,Health & Family Welfare,Nutrition,Vocational Training,Youth Affairs"
7,Asha Rehabilitation Centre Shillong,SR/ARC-632/98 OF 1998,Meghalaya, Shillong ,"Asha Rehabilitation Centrec/O 58 Gorkha Training Centre,Happy Valley",,Differently Abled
8,Auxilium Tribal Women And Children Welfare Society,MEG-RoS/2019/00058,Meghalaya, Shillong ,"Auxilium Tribal Women And Children Welfare Societyauxilium Convent, Nongthymmai – Shillong 793014East Khasi Hills - Meghalaya",793014,NaN
9,Auxilium Welfare Society Mawtnum Nongpoh,MEG-RoS/2019/00348,Meghalaya, Nongpoh ,Auxilium Welfare Society Mawtnum Nongpoh,,"Children,Education & Literacy,Vocational Training"
10,B P Rural Development Society,E-16(RS)8/2005/34,"Rs)8/2005/34, Shillong (Meghalaya", Shillong ,"B P Rural Development Society, Behind R. K. Dispensary, Lummawrie, Laitumkhrah, Shillong",,Art & Culture
1,1 Roti Gau Mata Ke Naam Trust,31Jaipur2020,Rajasthan, Jaipur ,"Plot No. 2, Bhadu Farm House Lane, Opp. Kamla Devi Budhiya School, 200 Ft. Bypass, Ajmer Road, Heerapura, Jaipur-302021",302021,NaN
2,100Medals Targeted Foundation,U85300RJ2021NPL077070,Rajasthan, Jaipur ,"Flat No. 04, Primrose 1, Park Apartments Vatika, Infotech City, Villagethikaria, Jaipur, Rajasthan302026",302026,Sports
3,109 Chandan Parshpadmawati Trust,17/2012/JODHPUR,Rajasthan, Jodhpur ,"Maa Padmawati Nagar, Chandan Vatka, Tanawada Fanta, Salawas Road",,Any Other
4,2.2K Digital Edusport Association ,U85100RJ2022NPL080017,Rajasthan, Bharatpur ,"C/O Saty Lekha, Jag Dish Singh,, Anirudh Nagar,, Bharatpur, Bharatpur, Rajasthan-321001",321001,"Sports,Skill Development,Education & Literacy,Rural Development & Poverty Alleviation,Any Other,Agriculture,Animal Husbandry, Dairying  &  Fisheries,Art & Culture,Biotechnology,Dalit Upliftment,Differently Abled,Disaster Management,Drinking Water,Aged/Elderly,Environment & Forests,Health & Family Welfare,Human Rights,Information & Communication Technology,Legal Awareness & Aid,Micro Small & Medium Enterprises,Minority Issues,New & Renewable Energy,Nutrition,Panchayati Raj,Science & Technology,Tribal Affairs,Water Resources,Women's Development & Empowerment,Youth Affairs"
5,3M Dot Bands Theatre Family Society,379/JAIPUR/2003-04,Rajasthan, Jaipur ,837Frontier Colonyadarsh Nagar,,"Art & Culture,Any Other"
6,A Bless Of Creator Society,68/jaipur/2009-10,Rajasthan, Jaipur ,"C-12,Lal Kothi Shopping Centre ,Between Hotal Jaipur Palace And Laxmi Mandri Cinema ,Tonk Phatak  ,Jaipur-302015",302015,"Aged/Elderly,Agriculture,Children,Civic Issues,Differently Abled,Disaster Management,Dalit Upliftment,Drinking Water,Education & Literacy,Environment & Forests,HIV/AIDS,Human Rights,Information & Communication Technology,Legal Awareness & Aid,Labour & Employment,Micro Finance (SHGs),Minority Issues,Micro Small & Medium Enterprises,Right to Information & Advocacy,Rural Development & Poverty Alleviation,Scientific & Industrial Research,Science & Technology,Tribal Affairs,Tourism,Women's Development & Empowerment"
7,A Fundamental Organization For Rurali Development Society,108/UDAIPUR/2009-10,Rajasthan, Raomadra ,"Village Post-Rao Madra Via Nandeshma, Tehsil-Gogunda, Udaipur, Rajasthan-313708",313708,"Agriculture,Art & Culture,Children,Dalit Upliftment,Education & Literacy,Environment & Forests,Information & Communication Technology,Micro Small & Medium Enterprises,Minority Issues,New & Renewable Energy,Vocational Training,Women's Development & Empowerment"
8,A Hand For Help Development Society,184/Jaipur/12-13,Rajasthan, Jaipur ,"A Hand For Help Development Society, 41 Jyoti Vihar Vistar, Mansarover, Jaipur",,"Civic Issues,Education & Literacy,Environment & Forests,Labour & Employment,Rural Development & Poverty Alleviation,Urban Development & Poverty Alleviation,Water Resources,Any Other"
9,A P Jain Bal And Mahila Vikas Samiti,54/ALWAR/1987-88,Rajasthan, Tijara ,"Ward No 05, Shri Ram Colony, Near Tehsil, Tijara, Alwar, Rajasthan ",,NaN
10,A.P.B.S.Trust,469514,Rajasthan, Jodhpur ,"Neem Ki Gali,Veer Mohalla,Jodhpur Rajasthan-342001",342001,"Agriculture,Art & Culture,Children,Civic Issues,Disaster Management,Education & Literacy,Human Rights,Land Resources,Women's Development & Empowerment,Animal Husbandry, Dairying  &  Fisheries,Biotechnology,Dalit Upliftment,Differently Abled,Drinking Water,Aged/Elderly,Environment & Forests,Food Processing,Health & Family Welfare,HIV/AIDS,Housing,Information & Communication Technology,Labour & Employment,Legal Awareness & Aid,Micro Finance (SHGs),Micro Small & Medium Enterprises,Minority Issues,Tourism,Urban Development & Poverty Alleviation,Water Resources,Youth Affairs"
1,   Radhakanta Es Institute Of Computer Technology,40241200175,Orissa, Baleswar ,"At/Po/Ps- Simulia, Dist- Balasore",,Vocational Training
2,24Mahakal Help Foundation,U853200R2020NPL034578,Orissa, Jagatsinghpur ,"Santara, Kujang,Jagatsinghpur,Odisha,754141",754141,"Children,Environment & Forests,Health & Family Welfare,Human Rights,Rural Development & Poverty Alleviation,Women's Development & Empowerment,Youth Affairs,Drinking Water,HIV/AIDS,Sports,Vocational Training"
3,2Nd Universe,41711401490,Orissa, Rourkela ,B 55 Koelnagar Rourkela,,"Children,Education & Literacy,Aged/Elderly,Micro Finance (SHGs),Women's Development & Empowerment"
4,360 Degree Social And Educational Trust,41132211801,Orissa, Bhubaneswar ,"House No- S2/438(B), Lane No- 15, Satya Sai Enclave, Po- Khandagiri, Khorda",,Education & Literacy
5,3Rd Eye Foundation,039980,Orissa, Bhubaneswar ,"Flat No.401, Shanti Nivas, Bomikhal, Rasulgarh,Bhubaneswar-751010",751010,"Art & Culture,Biotechnology,Children,Civic Issues,Dalit Upliftment,Differently Abled,Disaster Management,Drinking Water,Education & Literacy,Aged/Elderly,Environment & Forests,Food Processing,Health & Family Welfare,HIV/AIDS,Housing,Human Rights,Nutrition,Science & Technology,Urban Development & Poverty Alleviation,Vocational Training,Women's Development & Empowerment,Youth Affairs,Any Other,Skill Development"
6,3Rd Eye Foundation,41081900647,Orissa, Bhubaneswar ,"401,Shanti Nivas,Bomikhalnear Esplanade Mall,Rasulgarh",,"Micro Small & Medium Enterprises,Housing,Education & Literacy,Information & Communication Technology,Legal Awareness & Aid,Any Other"
7,4A Art Education Training And Entertainment Foundation,U80900OR2019NPL031616,Orissa, Bhubaneswar ,"Flat No-G10 / B6, Hitech Plaza Appartmen, Madhipur,Bhubaneswar, Khordha, Orissa, India, 751002",751002,"Art & Culture,Education & Literacy,Environment & Forests,Human Rights,Information & Communication Technology,Legal Awareness & Aid,Women's Development & Empowerment,Any Other,Skill Development"
8,5T Foundation,U85300OR2021NPL036958,Orissa, Bhubaneswar ,"Plot No. 453/11, Nuasahi, Nayapalli",,NaN
9,7 Wonders Welfare Trust,1081904747,Orissa, Bhubaneswar ,"Plot No-36/2059, Basanti Nilay, Santha Tulasi Sarovara, Near Nh-16, Pahala, Bhubaneswar.",,"Agriculture,Animal Husbandry, Dairying  &  Fisheries,Art & Culture,Biotechnology,Children,Civic Issues,Dalit Upliftment,Differently Abled,Disaster Management,Drinking Water,Education & Literacy,Aged/Elderly,Environment & Forests,Food Processing,Health & Family Welfare,HIV/AIDS,Human Rights,Information & Communication Technology,Micro Finance (SHGs),Panchayati Raj,Science & Technology,Sports,Tribal Affairs,Urban Development & Poverty Alleviation,Vocational Training,Women's Development & Empowerment,Youth Affairs"
10,A C O R D,4732/101,Orissa, Dhenkanal ,"At-Gudianalipo/Dist-Dhenkanal,Pin-759001,Odisha",759001,"Education & Literacy,Aged/Elderly,Environment & Forests,HIV/AIDS,Sports,Tribal Affairs,Vocational Training,Women's Development & Empowerment,Youth Affairs"
1,Aalamaram Social Service Society,149,Puducherry, Lawspet ,"No.30, Arjunan Street, Kannady Gardern, ",,Education & Literacy
2,Aanantha Kudil Charitable Trust,725,Puducherry, Puducherry ,"No 98, Edaiyanchavady Road, Karuvadikuppam, Lawspet Post,Puducherry",,"Agriculture,Animal Husbandry, Dairying  &  Fisheries,Art & Culture,Biotechnology,Children,Civic Issues,Dalit Upliftment,Differently Abled"
3,Aathmalayaa Educational Public Trust,0134 (05/17-18/T-0134),"05/17-18/T-0134), Karaikal (Puducherry", Karaikal ,"School Road, Aathmalayaa Nagar,Keezhakasakudy,Karaikal",,Education & Literacy
4,Abdul Gaffar Abdul Kareem Sait Educational Trust ,611/2018,Puducherry, Puducherry ,"568, M.G. Road,Puducherry605001.",605001,NaN
5,Achariya Educational Public Trust,229/2000,Puducherry, Pudhcherry ,"No5, Vasantha Nagar,Villianur, Puducherry.",,NaN
6,Adecom Network,108,Puducherry, Puducherry ,"Plot. No.26 , Fourth Cross Street, Extn., Mothilal Nagar, Moolakulam, Pondicherry -605 010",,"Right to Information & Advocacy,Rural Development & Poverty Alleviation,Women's Development & Empowerment,Children,Dalit Upliftment,Environment & Forests,Legal Awareness & Aid,Panchayati Raj,Vocational Training,Human Rights,Skill Development"
7,Agathe Illam Orphanage,DOC NO. 2079 OF 2015 BOOK IV,Puducherry, Pondicherry ,"No. 47/1, Fifth Cross Street, Moogambigai Nagar",,NaN
8,Agathin Aram Arivom Foundation,378 of 2020,Puducherry, Puducherry ,"No.14, First Floor, Vallalar Salai, Rajarajeswari Nagar, Near Andhra Maha Sabha, Puducherry.",,"Children,Differently Abled,Disaster Management,Education & Literacy,Environment & Forests,Skill Development,Health & Family Welfare"
9,Aic-Pondicherry Engineering College Foundation,U73200PY2018NPL008321,Puducherry, Pondicherry ,"Aic-Pondicherry Engineering College Foundationpondicherry Engineering College Campus,,Pillichavady, Puducherry, Pondicherry, Pondicherry, India,605014",605014,"Science & Technology,Information & Communication Technology"
10,Akshadha Foundation,1465/2021,Puducherry, Puducherry ,"No. 5, Kamaraj Salai, Pooranankuppam, Puducherry 605 007",,"Education & Literacy,Aged/Elderly"
1,Mizo Hmechhe Insuihkhawm Pawl Tlangmawi Branch,NO 5 OF 1977,Mizoram, Tlangmawi ,Mhip Tlangmawi Branchtlangmawichamphai Dist,,NaN
2,Sazep Bran Mizo Hmeichhe Insuihkhawm Pawl,No. 5 of 1977,Mizoram, Champhai ,Sazep Branch,,Women's Development & Empowerment
3,7 Mountain Bamboo & Natural Materials,MSR 1402 of 08.04.2021,Mizoram, Mizoram ,"C/O King Marketing, House No F/F45World Bank Road, Near Bridgefalkland796017Aizawl, Mizoram",796017,NaN
4,Adullam Society,MSR 394 of 11.10.2011,Mizoram, Aizawl ,"Zuangtui,Ii, Vengsang, Aizawl",,"Women's Development & Empowerment,Animal Husbandry, Dairying  &  Fisheries,Children,Civic Issues,Drinking Water,Education & Literacy,Aged/Elderly,Environment & Forests,Health & Family Welfare,Human Rights,Micro Finance (SHGs),Nutrition,Right to Information & Advocacy,Tribal Affairs,Vocational Training"
5,Adventist Hospital Society,SR/MZ_39,Mizoram, Aizawl ,"Seventh Day Tlang, Vaivakawn , Aizawl,Mizoram796009",796009,NaN
6,Agape Moral Reformation Organisation,SR-40 of 1990,Mizoram, Aizawl ,Ropaiabawk Chawlhhmun,,HIV/AIDS
7,Ainawn Society,MSR 765 OF 02.09.2016,Mizoram, Aizawl ,"H.No. B/12Mrf Tyre Showroom Buildingdawrpui Vengtharaizawl, Mizoram-796001",796001,"Agriculture,Food Processing,Any Other"
8,Aizawl Common Service Centre Society,MSR 971 OF 25.09.2018,Mizoram, Aizawl ,"Lk C-8 B, Durtlang Leitan Aizawl",,"Information & Communication Technology,Any Other"
9,Aizawl Diocesan Education Society,SR/MZ-87 OF 2003-04,Mizoram, Aizawl ,"Bishops House,Ramthar Veng",,"Children,Education & Literacy,Vocational Training"
10,Aizawl Football Club,No. S.R. 21 of 1987,Mizoram, Aizawl ,".No.188, Dawrpui West, Aizawl, Mizoram",,Sports
1,1008 Sant Baba Hari Singh Nekiwale Charitable Society,564,Punjab, Hoshiarpur ,Villae Panjaurdistt Hoshiarpur-Punjab144404,144404,Any Other
2,2Qadam Foundation,399/2022,Punjab, Bhatiwal Kalan ,"Village-518, Mander Patti, Bhatiwal Kalan, Sangrur, Punjab- 148026.",148026,"Agriculture,Art & Culture,Children,Drinking Water,Education & Literacy,Aged/Elderly,Environment & Forests,Food Processing,Health & Family Welfare,Science & Technology,Sports,Women's Development & Empowerment,Skill Development"
3,A S High School Trust And Management Society,32,Punjab, Khanna ,A S Sr Sec School Khanna,,"Children,Education & Literacy"
4,Aaas Foundation,DIC/BTL51 2019-2020,Punjab, Pathankot ,"Vill Lahri Bawian, Post Office Sarnatehsil And District Pathankot Punjab 145025",145025,"Agriculture,Art & Culture,Education & Literacy,Environment & Forests,Health & Family Welfare,Rural Development & Poverty Alleviation,Sports,Vocational Training,Women's Development & Empowerment"
5,Aadiwasi Guru Gyan Nath Pooran Sanghrash Dal Foundation,U85300PB2020NPL052024,Punjab, Amritsar ,"C/O Gian Ashram,Jagat Guru Valmikimandir, Gyan Ashram Bhagwan Valmiki Tirath, Amritsar, Amritsar, Punjab, India, 143001",143001,"Dalit Upliftment,Aged/Elderly,Human Rights,Labour & Employment"
6,Aagaz(Society For The People By The People),253,Punjab, Amritsar ,"109, Amarkot, Opp Khalsa College For Women, Amritsar, Punjab",,"Dalit Upliftment,Education & Literacy,Health & Family Welfare,Information & Communication Technology,Legal Awareness & Aid,Minority Issues,Rural Development & Poverty Alleviation,Sports,Vocational Training,Women's Development & Empowerment,Youth Affairs"
7,Aapi Charitable Foundation,607,Punjab, Jalandhar ,"Mohalla Kalhan Kartarpur,Jalandhar-144801",144801,"Health & Family Welfare,Education & Literacy"
8,Aas Ehssas Welfare Society (Regd.),AAKAA4567FE20221,Punjab, Ludhiana ,Kitchlu Nagar,,Any Other
9,Aas Welfare Society,20,Punjab, Mohali ,"184, Phase-9, Tehsil Mohali, Distt. S.A.S. Nagar, Punjab",,"Children,Education & Literacy,Health & Family Welfare,Rural Development & Poverty Alleviation,Vocational Training,Women's Development & Empowerment,Youth Affairs,Any Other"
10,Aasra Foundations,245,Punjab, Muktsar ,"Aasra Foundations,Jalalabad Road,Muktsar",,Education & Literacy
1,Abiogenesis  Socety,Regd No H/RS-2445,Nagaland, Dimapur ,"Abiogenesis Society,Mamias Bliss, 6,Angami Khel,Nuton Bosti",,"Animal Husbandry, Dairying  &  Fisheries,Aged/Elderly,Agriculture,Art & Culture,Children,Civic Issues,Disaster Management,Education & Literacy,Environment & Forests,Health & Family Welfare,HIV/AIDS,Human Rights,Information & Communication Technology,Micro Finance (SHGs),Minority Issues,Micro Small & Medium Enterprises,New & Renewable Energy,Nutrition,Right to Information & Advocacy,Rural Development & Poverty Alleviation,Sports,Tribal Affairs,Tourism,Vocational Training,Women's Development & Empowerment"
2,Abundant Life Foundation,HOME/SRC-6661/2014,Nagaland, Dimapur ,Abundant Life Foundationunited North Blockburma Camp,,"Children,Civic Issues,Differently Abled,Education & Literacy,Aged/Elderly,Health & Family Welfare,HIV/AIDS,Micro Finance (SHGs),Sports,Tribal Affairs,Urban Development & Poverty Alleviation,Vocational Training,Women's Development & Empowerment,Youth Affairs"
3,Achemlong Welfare Society,H/RS-2750 ,Nagaland, Noklak ,"Achemlong Welfare Societyc/O Pongombelow D.C. Office, Noklaknagaland 798626",798626,"Children,Education & Literacy"
